issue_id,result_date,results,sale_amount_R9,prize_count_R9,prize_R9,sale_amount_14,prize_count_14_1,prize_14_1,prize_count_14_2,prize_14_2
16193,2016/12/15,3 3 0 3 0 3 3 1 3 0 3 0 0 3,15769616,27726,364,16009456,286,25077,6658,461
16194,2016/12/17,1 1 1 1 3 0 0 0 1 3 3 3 1 1,13741690,81,108576,8081530,0,0,1,1551653
16195,2016/12/18,3 1 3 3 0 3 1 3 3 1 3 1 3 0,17229062,6364,1732,18384492,35,338765,854,4133
16196,2016/12/19,3 3 0 0 3 0 3 3 0 3 1 3 3 0,18554544,4821,2463,31190262,46,303766,1273,4704
16197,2016/12/22,1 3 0 3 1 3 3 1 1 1 3 3 1 0,19343462,12306,1005,18651496,42,198949,1021,3507
16198,2016/12/27,3 3 3 0 3 0 0 3 3 0 0 3 3 3,19117942,54980,222,20490262,680,13499,10080,390
16199,2017/1/2,3 3 3 3 0 0 3 3 1 1 1 1 0 1,15133662,1185,8173,17946458,1,5000000,60,57428
17001,2017/1/4,3 3 1 3 0 1 0 3 0 3 0 0 3 0,18155172,360,32275,20405530,1,5000000,27,145105
17002,2017/1/8,0 3 3 1 0 1 0 3 0 3 3 0 0 3,16111602,565,18250,22268552,3,5000000,88,48585
17003,2017/1/9,1 3 3 3 0 0 * 3 1 3 3 3 1 3,13493182,20621,418,31062764,270,59533,16289,366
17004,2017/1/14,1 3 3 1 0 1 0 0 0 0 1 0 1 3,15138792,240,40370,6787162,0,0,15,86875
17005,2017/1/15,3 3 0 0 1 3 0 0 3 0 1 3 3 1,16803056,12727,844,18387532,94,119981,1874,1883
17006,2017/1/16,3 1 3 3 1 0 3 3 3 1 0 3 1 0,18293156,791,14801,23278356,1,5000000,60,74490
17007,2017/1/21,0 1 1 3 0 0 3 1 * 3 1 0 3 3,15326612,2465,3979,13909432,6,1943354,155,17229
17008,2017/1/22,1 0 0 1 3 1 0 3 1 3 0 3 0 0,15615842,9032,1106,18680386,44,190200,1253,2862
17009,2017/1/23,3 3 1 3 3 1 0 0 3 3 1 1 3 0,17326804,32585,340,27546744,251,49167,4922,1074
17010,2017/2/3,0 3 0 3 1 3 1 3 0 3 1 1 3 0,7094856,180,25226,4583780,4,513383,67,13135
17011,2017/2/3,3 3 0 0 0 0 1 1 0 3 1 3 0 0,6830056,49,89208,10133672,0,0,10,194566
17012,2017/2/3,3 1 1 3 3 3 0 1 3 3 3 3 0 1,6308240,91,44365,6954322,0,0,5,267045
17013,2017/2/5,3 3 3 3 * 3 3 1 3 3 1 0 1 1,9271072,221,26848,8142950,0,0,2,781723
17014,2017/2/5,0 3 3 0 3 3 3 3 3 1 3 3 3 3,15337408,2950,3327,24964000,25,899493,840,5706
17015,2017/2/11,3 0 3 3 1 3 1 0 0 3 3 3 * 0,15073050,135575,71,20886804,1843,5077,30023,133
17016,2017/2/11,3 0 0 1 1 3 0 3 3 3 3 * 0 1,13361360,110195,77,12420280,2430,2289,29129,81
17017,2017/2/11,3 1 1 1 3 0 0 3 3 3 3 1 3 1,14049944,3224,2789,8162048,8,457074,230,6813
17018,2017/2/12,3 1 3 0 1 3 3 0 0 3 0 3 0 3,18664962,3049,3917,23915024,20,535696,777,5909
17019,2017/2/13,1 3 3 3 3 3 0 0 3 0 3 0 0 1,17163412,11432,960,20202394,62,145978,1875,2068
17020,2017/2/17,3 3 3 3 0 0 3 0 3 0 1 3 0 3,13278718,2932,2898,12395976,3,1851132,211,11279
17021,2017/2/18,0 0 3 1 3 3 3 3 3 0 1 1 1 1,13613264,2781,3132,7894194,5,707319,149,10172
17022,2017/2/19,3 0 0 1 3 1 3 0 3 0 3 3 1 0,18933340,13286,912,25882886,97,119541,2279,2180
17023,2017/2/20,0 1 0 3 1 0 3 3 3 3 3 3 3 1,17580102,2262,4974,20928644,13,721233,399,10070
17024,2017/2/24,0 3 0 3 0 1 3 3 0 3 0 3 0 1,13687544,845,10366,17928016,3,2677250,148,23257
17025,2017/2/25,0 3 1 0 0 3 1 3 0 1 0 0 0 1,11732364,52,144398,7270790,0,0,2,697995
17026,2017/2/26,3 3 3 1 3 1 0 3 3 0 0 3 0 3,18517970,23630,501,29243498,345,47415,7109,789
17027,2017/2/27,0 1 3 0 1 3 0 0 0 3 1 0 3 0,18487328,43517,271,18452588,361,22899,6475,547
17028,2017/3/1,3 0 0 0 3 3 3 0 3 * 3 1 0 3,11865034,4224,1797,9844456,16,275644,612,3088
17029,2017/3/2,3 0 3 3 0 3 3 1 1 1 0 1 0 1,10160450,1229,5291,14297952,1,5000000,371,7399
17030,2017/3/4,0 1 3 1 0 0 1 0 1 0 1 0 0 0,14904412,103,92609,9399694,0,0,3,601580
17031,2017/3/5,3 3 3 0 0 3 0 3 1 3 3 3 0 3,18127558,134049,86,26725140,3141,5599,47562,107
17032,2017/3/6,3 0 0 3 0 0 1 3 1 0 3 3 3 1,17842284,22585,505,23742530,174,61130,4239,1075
17033,2017/3/9,0 0 3 3 0 1 1 1 3 1 0 3 1 1,14610250,3152,2966,13207082,7,845253,220,11526
17034,2017/3/11,3 0 1 3 1 3 0 3 3 3 3 1 3 3,16460328,2097,5023,10181802,10,456144,251,7788
17035,2017/3/12,3 3 3 3 3 0 1 3 1 1 0 0 3 0,19265660,585,21076,22790332,1,5000000,40,109393
17036,2017/3/13,3 3 3 3 3 0 3 3 0 3 0 3 3 0,16682036,74797,142,39015430,931,24370,65222,114
17037,2017/3/16,1 1 1 1 3 3 1 0 0 3 3 3 3 1,12857542,28,293886,11789872,0,0,0,0
17038,2017/3/18,3 3 3 3 3 1 1 0 0 3 0 3 1 0,19886032,3998,3183,15485550,15,965536,420,7079
17039,2017/3/19,3 3 3 0 1 0 3 3 1 3 3 3 1 3,16050774,9027,1137,18349490,79,104057,1832,1923
17040,2017/3/20,3 1 0 3 3 1 0 0 3 3 3 0 3 3,20263112,151050,85,32736366,2198,6672,38570,162
17041,2017/3/25,3 3 0 3 1 0 3 1 3 0 3 3 0 3,12256034,888402,8,27265410,27106,450,255058,20
17042,2017/3/27,3 3 3 1 3 0 3 1 0 0 3 3 1 3,9434068,125200,48,25671114,1658,6936,36500,135
17043,2017/3/29,0 0 0 1 0 3 3 3 3 3 3 3 3 0,13935186,6344,1405,19345738,18,481493,482,7706
17044,2017/4/1,0 3 3 0 3 3 1 0 3 3 3 0 1 3,15551734,1652,6024,10258600,12,382987,243,8105
17045,2017/4/2,0 0 3 3 1 3 1 3 1 3 3 0 1 0,18342564,1223,9598,23410448,14,749134,486,9248
17046,2017/4/3,1 1 0 3 0 1 0 1 3 3 0 1 3 0,16969678,1101,9864,20506000,3,3062229,124,31751
17047,2017/4/5,3 3 3 1 3 3 3 3 3 3 3 3 3 0,19455234,29333,424,20044168,258,34805,5500,699
17048,2017/4/6,3 3 0 3 3 1 3 0 0 0 0 3 1 0,16768146,4047,2651,20562872,38,242425,924,4272
17049,2017/4/8,1 0 1 0 3 0 3 3 0 1 1 3 3 0,15354068,334,29420,7883686,0,0,15,100911
17050,2017/4/9,3 1 0 0 3 0 0 3 3 3 3 3 1 3,18273578,35928,325,23586828,284,49643,6001,754
17051,2017/4/10,3 3 3 3 0 0 3 3 0 0 3 3 1 1,16433904,7867,1336,20224812,60,151011,1783,2177
17052,2017/4/13,0 3 1 3 1 0 1 3 3 3 0 3 3 0,15633480,307,32590,15745254,2,3526936,42,71978
17053,2017/4/15,1 0 0 3 3 3 3 3 3 3 3 3 3 1,14258954,7482,1219,8935990,17,235489,390,4399
17054,2017/4/16,1 3 3 1 3 0 3 3 3 3 3 3 1 3,17900290,58116,197,21711160,637,15269,11195,372
17055,2017/4/17,0 3 3 3 3 1 3 0 1 3 1 3 0 0,13227690,763,11095,10071068,2,2255919,52,37185
17056,2017/4/18,0 3 1 0 1 3 3 0 0 0 3 1 0 3,13192504,434,19454,10966154,1,4912836,20,105275
17057,2017/4/21,1 0 3 1 3 3 1 1 3 1 1 3 1 3,12909656,116,71225,8847022,0,0,1,1698628
17058,2017/4/22,1 3 0 3 3 1 3 1 1 0 3 0 1 3,14698772,2159,4357,10174550,4,2130416,129,15143
17059,2017/4/23,3 3 3 1 3 3 1 0 0 3 0 3 3 3,16711130,2022,5289,21419428,15,639726,614,6697
17060,2017/4/24,0 0 1 3 1 0 0 3 0 3 3 0 1 0,17578748,394,28554,21418672,2,4797782,65,63267
17061,2017/4/27,0 3 3 3 3 3 0 1 0 0 3 3 0 0,15240734,39946,244,18417658,365,22605,11004,321
17062,2017/4/29,0 3 3 3 1 3 0 3 0 0 0 3 3 3,15462854,22347,442,12349000,187,29584,4224,561
17063,2017/4/30,1 1 0 0 0 1 0 1 3 3 0 3 0 0,16459268,894,11782,21861376,1,5000000,63,66625
17064,2017/5/1,1 0 3 3 3 0 1 0 3 0 0 3 0 3,15626930,38,263190,21877702,0,0,4,1050129
17065,2017/5/4,3 1 1 1 3 1 0 3 3 3 3 3 0 3,14424220,8798,1049,17939296,83,272673,2166,1590
17066,2017/5/6,3 3 0 0 0 1 1 0 0 0 0 0 1 1,15108036,79,122394,11815646,0,0,4,567151
17067,2017/5/7,1 1 0 3 3 3 1 0 3 1 0 3 3 0,16204608,12018,862,32875472,106,188883,3471,1818
17068,2017/5/8,1 3 1 3 1 3 3 0 3 1 0 3 0 3,16196426,2533,4092,19448352,11,792078,285,13102
17069,2017/5/11,0 3 1 3 3 1 3 0 3 0 3 3 3 3,14628138,1547,6051,16056692,4,1798349,159,19389
17070,2017/5/13,3 0 0 0 1 3 3 1 3 0 1 1 0 0,16539224,18514,571,15697084,55,127859,1503,2005
17071,2017/5/14,3 0 0 0 1 1 1 3 0 1 0 1 0 1,15859232,1257,8074,17619566,5,1578713,140,24163
17072,2017/5/15,0 3 3 3 3 0 1 3 3 1 3 0 1 1,17778140,3777,3012,24434168,11,995137,444,10566
17073,2017/5/18,3 3 1 3 3 1 0 1 0 0 0 3 0 0,14344714,668,13743,19419024,1,5000000,204,18276
17074,2017/5/21,0 3 3 3 3 0 3 3 3 0 0 * 1 3,10895848,229262,30,15297310,10201,1034,98673,29
17075,2017/5/21,3 3 1 1 3 1 3 0 1 0 3 1 3 1,15766932,8276,1219,26678262,26,459686,800,6402
17076,2017/5/22,3 0 3 0 3 3 1 3 0 3 0 1 0 3,16730128,99190,107,30439624,1732,7873,29901,195
17077,2017/5/26,3 0 1 0 3 3 0 3 0 3 1 3 3 0,13508058,29820,289,14616756,314,20854,5834,481
17078,2017/5/28,3 3 3 0 3 0 3 0 3 3 3 1 3 3,13321082,109864,77,18769364,1876,4482,28327,127
17079,2017/5/29,3 3 0 1 3 3 3 3 1 3 3 1 1 1,13548936,1018,8517,21455602,1,5000000,114,36135
17080,2017/6/4,3 3 0 1 1 0 3 0 3 0 0 0 3 3,11268350,739,9758,13968548,5,2174003,136,19720
17081,2017/6/5,3 0 3 3 0 3 3 3 3 1 1 3 1 3,12017444,9836,781,13725144,50,122977,1287,2047
17082,2017/6/9,3 1 1 3 3 3 3 3 0 3 0 3 3 3,11746940,10353,726,14450632,41,157899,922,3009
17083,2017/6/11,3 3 3 3 0 1 0 0 0 1 1 3 3 0,10119112,935,6926,26782294,3,3999489,835,6158
17084,2017/6/12,0 1 1 1 0 3 0 3 0 1 3 3 3 3,13947990,15411,579,23526686,93,113332,2124,2126
17085,2017/6/15,1 3 3 3 1 1 1 0 3 1 3 3 3 1,11354122,46,157970,13752786,1,5000000,10,264053
17086,2017/6/18,3 1 3 0 1 1 0 1 1 3 3 3 1 3,12435384,2744,2900,11243734,8,774805,234,9225
17087,2017/6/19,1 0 3 3 3 3 1 1 1 0 0 1 0 0,12084302,75,103119,13970202,0,0,0,0
17088,2017/6/23,0 3 1 1 0 3 1 3 3 3 3 3 0 3,13432512,22475,382,25685460,280,73028,6430,766
17089,2017/6/26,1 3 3 3 1 1 0 1 3 3 0 0 1 0,14274676,398,22954,18382242,0,0,20,176469
17090,2017/7/2,3 0 0 3 0 3 0 0 3 0 3 3 3 3,11150464,6992,1020,17200300,41,388804,1338,2468
17091,2017/7/3,1 3 3 3 1 0 1 3 1 3 1 3 3 1,12440948,1988,4005,15349588,8,859576,260,11335
17092,2017/7/7,0 0 0 3 3 3 3 0 1 1 1 1 0 3,11185746,3541,2021,15876898,9,790316,384,7938
17093,2017/7/9,3 3 1 3 1 0 3 1 0 3 3 0 3 0,11770444,5873,1282,13028458,51,114446,1102,2269
17094,2017/7/10,3 3 0 0 1 1 3 3 1 1 1 3 0 3,11398138,46,158582,13437742,0,0,8,322505
